产品名称,单位,本期价格（元）,比上期 价格涨跌（元）,涨跌幅(%)
一、黑色金属,,,,
螺纹钢（Φ20mm，HRB400E）,吨,3187.0,-6.3,-0.2
线材（Φ8—10mm，HPB300）,吨,3354.9,-3.4,-0.1
普通中板（20mm，Q235）,吨,3547.4,-1.4,0.0
热轧普通板卷（4.75—11.5mm，Q235）,吨,3299.5,-10.7,-0.3
无缝钢管（219*6，20#）,吨,4151.3,7.7,0.2
角钢（5#）,吨,3498.9,-4.8,-0.1
二、有色金属,,,,
电解铜（1#）,吨,78320.0,639.3,0.8
铝锭（A00）,吨,19665.0,-287.9,-1.4
铅锭（1#）,吨,16593.8,-206.2,-1.2
锌锭（0#）,吨,22835.0,-27.9,-0.1
三、化工产品,,,,
硫酸（98%）,吨,625.5,-35.9,-5.4
烧碱（液碱，32%）,吨,853.1,-14.0,-1.6
甲醇（优等品）,吨,2317.7,-76.1,-3.2
纯苯（石油苯，工业级）,吨,5581.0,-511.0,-8.4
苯乙烯（一级品）,吨,7221.9,-194.1,-2.6
聚乙烯（LLDPE，熔融指数2薄膜料）,吨,7494.6,-124.6,-1.6
聚丙烯（拉丝料）,吨,7198.3,-49.8,-0.7
聚氯乙烯（SG5）,吨,4763.0,-74.9,-1.5
顺丁胶（BR9000）,吨,11491.7,95.9,0.8
涤纶长丝（POY150D/48F）,吨,6512.5,168.7,2.7
四、石油天然气,,,,
液化天然气（LNG）,吨,4450.3,-10.1,-0.2
液化石油气（LPG）,吨,4930.6,6.6,0.1
汽油（95#国VI）,吨,8391.1,-149.7,-1.8
汽油（92#国VI）,吨,8118.3,-148.0,-1.8
柴油（0#国VI）,吨,6913.3,-104.9,-1.5
石蜡（58#半）,吨,7372.5,-825.0,-10.1
五、煤炭,,,,
无烟煤（洗中块）,吨,965.0,5.0,0.5
普通混煤（4500大卡）,吨,506.8,-13.8,-2.7
山西大混（5000大卡）,吨,571.2,-17.4,-3.0
山西优混（5500大卡）,吨,651.4,-14.9,-2.2
大同混煤（5800大卡）,吨,686.8,-15.8,-2.3
焦煤（主焦煤）,吨,1225.0,0.0,0.0
焦炭（准一级冶金焦）,吨,1316.4,0.0,0.0
六、非金属建材,,,,
普通硅酸盐水泥（P.O 42.5袋装）,吨,374.8,-2.5,-0.7
普通硅酸盐水泥（P.O 42.5散装）,吨,323.0,-6.9,-2.1
浮法平板玻璃（4.8/5mm）,吨,1318.3,-13.6,-1.0
七、农产品（主要用于加工）,,,,
稻米（粳稻米）,吨,3967.0,29.0,0.7
小麦（国标三等）,吨,2424.1,18.3,0.8
玉米（黄玉米二等）,吨,2303.2,87.9,4.0
棉花（皮棉，白棉三级）,吨,13596.6,-26.0,-0.2
生猪（外三元）,千克,14.8,-0.1,-0.7
大豆（黄豆）,吨,4243.4,1.0,0.0
豆粕（粗蛋白含量≥43%）,吨,3241.2,-480.2,-12.9
花生（油料花生米）,吨,7566.7,14.3,0.2
八、农业生产资料,,,,
尿素（中小颗粒）,吨,1917.9,66.8,3.6
复合肥（硫酸钾复合肥，氮磷钾含量45%）,吨,3201.1,0.0,0.0
农药（草甘膦，95%原药）,吨,23400.0,0.0,0.0
九、林产品,,,,
天然橡胶（标准胶SCRWF）,吨,14527.1,70.8,0.5
纸浆（进口针叶浆）,吨,5960.9,-196.0,-3.2
瓦楞纸（AA级120g）,吨,2512.7,-25.6,-1.0
注：上期为2025年4月下旬。,注：上期为2025年4月下旬。,注：上期为2025年4月下旬。,注：上期为2025年4月下旬。,注：上期为2025年4月下旬。
