0,1,2,3
单位：元、%,单位：元、%,单位：元、%,单位：元、%
行　业,2023年,2024年,增速
全部,4780,4961,3.8
制造业,4780,4978,4.1
建筑业,5488,5743,4.6
批发和零售业,4181,4362,4.3
交通运输仓储和邮政业,5469,5635,3.0
住宿餐饮业,3998,4141,3.6
居民服务修理和其他服务业,3965,4023,1.5
