0,1,2,3,4
指　标,5月,5月,1—5月,1—5月
指　标,绝对量 （亿元）,同比增长（%）,绝对量 （亿元）,同比增长（%）
社会消费品零售总额,41326,6.4,203171,5.0
其中：除汽车以外的消费品零售额,37316,7.0,184324,5.6
其中：限额以上单位消费品零售额,16716,8.0,80749,6.3
其中：实物商品网上零售额,-,-,49878,6.3
按经营地分,,,,
城镇,36057,6.5,176490,5.1
乡村,5269,5.4,26681,4.9
按消费类型分,,,,
餐饮收入,4578,5.9,22773,5.0
其中：限额以上单位餐饮收入,1374,4.8,6583,4.5
商品零售额,36748,6.5,180398,5.1
其中：限额以上单位商品零售额,15342,8.2,74166,6.4
其中：粮油、食品类,1919,14.6,9893,13.0
饮料类,267,0.1,1304,0.2
烟酒类,482,11.2,2787,6.7
服装、鞋帽、针纺织品类,1225,4.0,6138,3.3
化妆品类,435,4.4,1889,4.1
金银珠宝类,300,21.8,1664,12.3
日用品类,741,8.0,3507,7.2
体育、娱乐用品类,162,28.3,691,25.7
家用电器和音像器材类,1166,53.0,4641,30.2
中西药品类,588,0.3,2987,1.8
文化办公用品类,399,30.5,1865,25.7
家具类,170,25.6,757,21.4
通讯器材类,871,33.0,3871,27.1
石油及制品类,1895,-7.0,9787,-2.6
汽车类,4010,1.1,18847,-0.1
建筑及装潢材料类,138,5.8,663,3.0
注：此表数据均为未扣除价格因素的名义增速。,注：此表数据均为未扣除价格因素的名义增速。,注：此表数据均为未扣除价格因素的名义增速。,注：此表数据均为未扣除价格因素的名义增速。,注：此表数据均为未扣除价格因素的名义增速。
