0,1,2,3,4
指标,5月,5月,1—5月,1—5月
指标,绝对量,同比增长 （%）,绝对量,同比增长 （%）
规模以上工业增加值,…,5.8,…,6.3
分三大门类,,,,
采矿业,…,5.7,…,6.0
制造业,…,6.2,…,6.9
其中：高技术制造业,…,8.6,…,9.5
电力、热力、燃气及水生产和供应业,…,2.2,…,2.0
分经济类型,,,,
其中：国有控股企业,…,3.8,…,3.9
其中：股份制企业,…,6.3,…,6.9
外商及港澳台投资企业,…,3.9,…,4.0
其中：私营企业,…,5.9,…,6.8
主要行业增加值,,,,
煤炭开采和洗选业,…,5.5,…,6.7
石油和天然气开采业,…,5.3,…,3.7
农副食品加工业,…,7.6,…,7.3
食品制造业,…,6.7,…,6.2
酒、饮料和精制茶制造业,…,4.1,…,5.0
纺织业,…,0.6,…,4.4
化学原料和化学制品制造业,…,5.9,…,8.3
医药制造业,…,1.3,…,0.9
橡胶和塑料制品业,…,5.4,…,7.2
非金属矿物制品业,…,-0.6,…,-0.6
黑色金属冶炼和压延加工业,…,4.8,…,6.0
有色金属冶炼和压延加工业,…,8.1,…,7.1
金属制品业,…,6.7,…,9.3
通用设备制造业,…,6.3,…,8.4
专用设备制造业,…,2.3,…,3.7
汽车制造业,…,11.6,…,11.2
铁路、船舶、航空航天和其他运输设备制造业,…,14.6,…,18.4
电气机械和器材制造业,…,11.0,…,12.3
计算机、通信和其他电子设备制造业,…,10.2,…,11.1
电力、热力生产和供应业,…,2.0,…,1.6
规模以上工业主要产品产量,,,,
布（亿米）,27,-3.3,126,0.2
硫酸（折100％）（万吨）,890,5.7,4547,5.2
烧碱（折100％）（万吨）,379,2.3,1870,4.0
乙烯（万吨）,303,14.4,1529,11.9
化学纤维（万吨）,735,5.2,3504,5.5
水泥（万吨）,16500,-8.1,65939,-4.0
平板玻璃（万重量箱）,8168,-5.7,40177,-4.9
生铁（万吨）,7411,-3.3,36274,-0.1
粗钢（万吨）,8655,-6.9,43163,-1.7
钢材（万吨）,12743,3.4,60582,5.2
十种有色金属（万吨）,683,2.9,3340,2.8
其中：原铝（电解铝）（万吨）,383,5.0,1859,4.0
金属切削机床（万台）,7,6.3,33,13.3
工业机器人（套）,69056,35.5,287182,32.0
服务机器人（套）,1216396,13.8,5305886,14.0
汽车（万辆）,264.2,11.3,1275.7,11.1
其中：轿车（万辆）,100.7,9.8,482.6,11.6
运动型多用途乘用车（SUV）（万辆）,110.7,10.5,533.3,9.2
其中：新能源汽车（万辆）,124.5,31.7,564.0,40.8
发电机组（发电设备）（万千瓦）,3275,43.1,13743,75.9
太阳能电池（光伏电池）（万千瓦）,7057,27.8,30492,18.3
微型计算机设备（万台）,2994,8.1,13484,5.5
移动通信手持机（万台）,11368,-7.2,56998,-6.5
其中：智能手机（万台）,9100,-1.7,45136,-2.1
集成电路（亿块）,424,11.5,1935,6.8
原煤（万吨）,40328,4.2,198537,6.0
焦炭（万吨）,4238,2.4,20723,3.3
原油（万吨）,1847,1.8,9028,1.3
原油加工量（万吨）,5911,-1.8,29937,0.3
天然气（亿立方米）,221,9.1,1096,6.0
规模以上工业发电量（亿千瓦时）,7378,0.5,37266,0.3
火力发电量（亿千瓦时）,4615,1.2,24448,-3.1
水力发电量（亿千瓦时）,991,-14.3,4001,-2.5
核能发电量（亿千瓦时）,384,6.7,1969,11.5
风力发电量（亿千瓦时）,917,11.0,4742,11.1
太阳能发电量（亿千瓦时）,471,7.3,2105,18.3
产品销售率（%）,95.9,-0.8 (百分点),95.4,-0.5 (百分点)
出口交货值（亿元）,12682,0.6,61491,4.1
