0,1,2,3,4,5,6
行　业,营业收入,营业收入,营业成本,营业成本,利润总额,利润总额
行　业,金额,同比增长,金额,同比增长,金额,同比增长
行　业,(亿元),(%),(亿元),(%),(亿元),(%)
总计,200945.2,2.8,171019.5,2.9,9109.9,-0.3
煤炭开采和洗选业,4044.7,-19.3,2885.3,-13.5,506.6,-47.3
石油和天然气开采业,1966.3,0.9,1037.4,4.1,643.6,-1.1
黑色金属矿采选业,706.1,-15.5,578.9,-8.6,56.1,-56.6
有色金属矿采选业,579.5,21.7,344.4,11.5,160.5,69.1
非金属矿采选业,480.2,-0.1,350.4,1.2,39.4,-16.9
开采专业及辅助性活动,290.1,7.6,273.0,6.9,4.0,344.4
其他采矿业,2.0,-53.5,1.5,-58.3,0.1,-50.0
农副食品加工业,7911.1,2.8,7274.5,1.9,204.1,37.8
食品制造业,3530.0,3.2,2733.7,3.1,297.2,4.7
酒、饮料和精制茶制造业,2819.6,1.0,1716.9,1.7,550.0,3.0
烟草制品业,4350.0,4.5,1017.2,7.5,685.3,3.3
纺织业,3339.0,2.7,2986.6,2.5,72.8,5.7
纺织服装、服饰业,1829.0,3.4,1548.7,4.1,73.8,-5.7
皮革、毛皮、羽毛及其制品和制鞋业,1220.4,0.8,1054.9,1.1,49.6,-9.5
木材加工和木、竹、藤、棕、草制品业,1267.5,-3.9,1154.9,-3.7,34.8,-14.5
家具制造业,912.2,-2.7,750.5,-3.5,34.1,-29.7
造纸和纸制品业,2090.5,-1.9,1840.8,-2.0,51.7,-17.7
印刷和记录媒介复制业,972.4,-0.5,815.8,-0.5,36.8,-13.0
文教、工美、体育和娱乐用品制造业,2101.7,-2.1,1831.9,-2.6,75.2,-14.5
石油、煤炭及其他燃料加工业,8685.9,-8.4,7473.9,-9.6,-18.6,（注1）
化学原料和化学制品制造业,13529.0,5.0,11864.0,4.8,419.4,-1.5
医药制造业,3694.3,-3.4,2162.5,-1.3,531.2,-2.7
化学纤维制造业,1541.5,-5.4,1424.7,-6.3,27.2,11.5
橡胶和塑料制品业,4451.4,6.5,3783.2,6.9,182.9,-1.3
非金属矿物制品业,6616.4,-8.8,5717.6,-8.5,112.7,-37.8
黑色金属冶炼和压延加工业,11444.2,-8.5,11029.9,-9.9,-15.5,（注1）
有色金属冶炼和压延加工业,12855.1,21.3,12156.9,21.8,366.3,20.5
金属制品业,6395.6,2.4,5638.9,2.3,190.9,1.0
通用设备制造业,6790.9,6.8,5560.3,7.1,340.6,6.0
专用设备制造业,5048.0,4.5,3980.6,4.7,228.7,5.9
汽车制造业,14808.4,8.3,12976.7,8.8,619.6,11.7
铁路、船舶、航空航天和其他运输设备制造业,2093.7,21.2,1741.1,20.4,152.2,88.8
电气机械和器材制造业,14647.0,9.3,12594.2,9.7,583.6,-2.4
计算机、通信和其他电子设备制造业,23230.6,9.2,20637.5,9.6,386.9,-9.4
仪器仪表制造业,1338.0,5.9,999.8,5.7,75.9,26.7
其他制造业,313.2,6.4,256.8,6.4,14.3,-3.4
废弃资源综合利用业,1562.4,-1.8,1500.9,-2.7,10.7,118.4
金属制品、机械和设备修理业,366.4,15.2,309.3,14.2,20.7,12.5
电力、热力生产和供应业,16187.0,-0.8,14501.4,-1.7,1123.2,13.5
燃气生产和供应业,4228.1,-2.4,3990.9,-3.3,134.0,22.2
水的生产和供应业,705.9,0.0,521.0,-1.5,47.3,-5.4
注： 1.石油煤炭及其他燃料加工业、黑色金属冶炼和压延加工业上年同期为亏损，无法计算同比增速。 2.本表部分指标存在总计不等于分项之和情况，是数据四舍五入所致，未作机械调整。,注： 1.石油煤炭及其他燃料加工业、黑色金属冶炼和压延加工业上年同期为亏损，无法计算同比增速。 2.本表部分指标存在总计不等于分项之和情况，是数据四舍五入所致，未作机械调整。,注： 1.石油煤炭及其他燃料加工业、黑色金属冶炼和压延加工业上年同期为亏损，无法计算同比增速。 2.本表部分指标存在总计不等于分项之和情况，是数据四舍五入所致，未作机械调整。,注： 1.石油煤炭及其他燃料加工业、黑色金属冶炼和压延加工业上年同期为亏损，无法计算同比增速。 2.本表部分指标存在总计不等于分项之和情况，是数据四舍五入所致，未作机械调整。,注： 1.石油煤炭及其他燃料加工业、黑色金属冶炼和压延加工业上年同期为亏损，无法计算同比增速。 2.本表部分指标存在总计不等于分项之和情况，是数据四舍五入所致，未作机械调整。,注： 1.石油煤炭及其他燃料加工业、黑色金属冶炼和压延加工业上年同期为亏损，无法计算同比增速。 2.本表部分指标存在总计不等于分项之和情况，是数据四舍五入所致，未作机械调整。,注： 1.石油煤炭及其他燃料加工业、黑色金属冶炼和压延加工业上年同期为亏损，无法计算同比增速。 2.本表部分指标存在总计不等于分项之和情况，是数据四舍五入所致，未作机械调整。
