0,1,2,3,4,5,6
分　组,营业收入,营业收入,营业成本,营业成本,利润总额,利润总额
分　组,金额 (亿元),同比增长 (%),金额 (亿元),同比增长 (%),金额 (亿元),同比增长 (%)
总计,200945.2,2.8,171019.5,2.9,9109.9,-0.3
其中：采矿业,8068.9,-10.6,5470.9,-7.0,1410.3,-25.2
制造业,171755.3,4.0,146535.4,4.0,6395.1,4.8
电力、热力、燃气及水生产和供应业,21121.1,-1.1,19013.2,-2.0,1304.5,13.5
其中：国有控股企业,57885.2,0.0,47405.4,-0.1,3487.7,2.1
其中：股份制企业,160954.8,3.2,137219.2,3.5,6739.2,-2.0
外商及港澳台投资企业,38701.1,1.1,32703.6,0.8,2304.6,4.9
其中：私营企业,71884.6,2.3,62456.6,2.4,2209.9,-9.0
注： 1.经济类型分组之间存在交叉，故各经济类型企业数据之和大于总计。 2.本表部分指标存在总计不等于分项之和情况，是数据四舍五入所致，未作机械调整。,注： 1.经济类型分组之间存在交叉，故各经济类型企业数据之和大于总计。 2.本表部分指标存在总计不等于分项之和情况，是数据四舍五入所致，未作机械调整。,注： 1.经济类型分组之间存在交叉，故各经济类型企业数据之和大于总计。 2.本表部分指标存在总计不等于分项之和情况，是数据四舍五入所致，未作机械调整。,注： 1.经济类型分组之间存在交叉，故各经济类型企业数据之和大于总计。 2.本表部分指标存在总计不等于分项之和情况，是数据四舍五入所致，未作机械调整。,注： 1.经济类型分组之间存在交叉，故各经济类型企业数据之和大于总计。 2.本表部分指标存在总计不等于分项之和情况，是数据四舍五入所致，未作机械调整。,注： 1.经济类型分组之间存在交叉，故各经济类型企业数据之和大于总计。 2.本表部分指标存在总计不等于分项之和情况，是数据四舍五入所致，未作机械调整。,注： 1.经济类型分组之间存在交叉，故各经济类型企业数据之和大于总计。 2.本表部分指标存在总计不等于分项之和情况，是数据四舍五入所致，未作机械调整。
