0,1,2,3,4,5,6,7,8,9
城市,90m2及以下,90m2及以下,90m2及以下,90-144m2,90-144m2,90-144m2,144m2以上,144m2以上,144m2以上
城市,环比,同比,1-5月 平均,环比,同比,1-5月 平均,环比,同比,1-5月 平均
城市,上月 =100,上年同月 =100,上年同期 =100,上月 =100,上年同月 =100,上年同期 =100,上月= 100,上年同月 =100,上年同期 =100
唐 山,99.3,92.4,92.3,99.5,93.1,92.6,99.4,92.6,92.4
秦 皇 岛,99.4,93.9,93.0,99.7,94.1,93.4,99.2,92.3,92.1
包 头,99.7,95.0,95.1,99.6,93.6,93.3,99.8,93.9,93.8
丹 东,99.7,94.4,94.1,99.9,95.2,93.8,99.8,94.5,94.7
锦 州,99.8,94.6,93.5,100.0,96.5,96.4,99.8,94.0,94.4
吉 林,99.8,95.0,93.8,100.0,96.1,94.6,99.9,96.7,95.8
牡 丹 江,100.0,94.3,93.9,100.1,94.5,93.1,99.8,94.3,92.3
无 锡,99.9,96.4,95.8,99.4,96.3,96.3,99.9,95.9,94.9
徐 州,100.0,94.5,93.2,99.8,95.0,94.5,99.9,93.7,93.0
扬 州,99.3,94.0,93.3,99.1,94.4,93.8,98.9,94.6,94.3
温 州,99.8,92.0,90.9,99.7,92.3,91.4,99.8,91.0,90.1
金 华,99.9,92.6,91.1,99.7,93.1,91.1,99.7,93.2,92.2
蚌 埠,99.7,95.1,94.9,99.6,94.2,93.6,99.2,93.8,94.5
安 庆,99.8,96.0,96.3,99.4,94.9,94.1,99.7,94.2,94.0
泉 州,99.6,94.5,93.3,99.6,93.6,92.5,99.9,94.1,93.3
九 江,100.1,95.1,93.3,100.2,95.8,93.8,100.6,94.6,92.7
赣 州,100.0,96.0,94.6,100.1,96.1,95.3,100.1,96.5,95.5
烟 台,99.9,94.9,93.0,100.0,95.8,94.9,99.6,95.3,93.8
济 宁,99.9,95.4,94.1,99.4,96.4,96.1,99.8,94.3,93.6
洛 阳,99.3,94.6,95.1,99.7,94.4,94.2,99.5,93.7,93.7
平 顶 山,100.0,99.6,99.0,99.8,98.8,98.7,99.9,99.2,99.1
宜 昌,100.0,97.3,96.7,99.9,98.0,96.6,99.8,95.7,94.5
襄 阳,99.9,96.3,95.4,99.6,95.5,94.5,99.4,94.0,93.6
岳 阳,99.5,93.1,92.7,99.7,93.8,93.9,99.8,94.7,94.4
常 德,99.5,94.1,92.7,99.9,94.9,93.3,99.9,94.2,92.3
韶 关,99.5,95.1,95.7,100.0,95.6,94.6,99.5,94.2,93.9
湛 江,99.8,95.6,94.2,100.0,96.0,94.8,99.7,96.0,94.4
惠 州,99.6,95.5,94.1,99.8,95.5,94.6,99.6,94.5,93.8
桂 林,99.4,97.3,97.3,99.7,96.7,96.3,99.4,97.9,97.2
北 海,99.3,93.8,94.2,99.5,93.1,93.5,99.1,93.5,93.7
三 亚,100.0,98.2,97.7,100.2,98.1,96.8,99.9,98.6,97.7
泸 州,99.4,94.5,93.7,99.5,93.3,92.9,99.6,93.8,92.9
南 充,99.8,96.6,96.6,99.6,97.0,97.2,99.8,98.0,96.9
遵 义,99.8,96.7,96.5,99.8,96.6,96.6,99.6,96.2,96.1
大 理,99.6,92.3,91.9,99.5,94.0,94.3,99.9,93.5,92.8
