0,1,2,3,4,5,6,7,8,9
城市,90m2及以下,90m2及以下,90m2及以下,90-144m2,90-144m2,90-144m2,144m2以上,144m2以上,144m2以上
城市,环比,同比,1-5月 平均,环比,同比,1-5月 平均,环比,同比,1-5月 平均
城市,上月 =100,上年同月 =100,上年同期 =100,上月 =100,上年同月 =100,上年同期 =100,上月 =100,上年同月 =100,上年同期 =100
北 京,98.9,99.8,98.0,99.1,98.6,97.6,99.8,99.2,98.1
天 津,99.6,97.0,95.3,99.1,96.1,95.2,99.2,97.3,96.5
石 家 庄,99.5,93.5,92.9,99.7,94.7,93.6,99.4,93.6,92.9
太 原,99.7,95.3,95.5,99.5,95.1,95.3,99.7,93.8,94.3
呼和浩特,99.6,90.5,89.3,99.1,89.9,89.3,99.6,89.2,88.5
沈 阳,99.9,94.6,93.4,99.6,95.8,95.1,99.7,93.0,92.2
大 连,99.4,93.9,92.6,99.4,91.0,90.3,99.6,91.1,90.1
长 春,99.4,93.0,92.8,99.8,95.4,94.8,99.4,93.8,93.8
哈 尔 滨,99.4,91.9,91.4,99.6,93.1,92.9,98.9,92.6,92.7
上 海,99.1,99.4,97.9,99.4,100.4,99.5,99.5,100.7,99.4
南 京,99.2,95.8,95.1,99.0,95.2,94.9,99.1,94.8,95.5
杭 州,99.7,98.7,97.0,99.4,99.4,97.7,99.8,97.4,96.1
宁 波,99.1,93.7,92.5,99.0,93.0,92.4,99.0,95.2,93.3
合 肥,99.1,92.0,91.5,99.3,93.1,92.3,99.8,94.3,93.2
福 州,99.5,91.0,90.4,99.2,92.7,91.6,99.6,92.4,91.1
厦 门,99.6,92.5,90.4,99.5,93.0,90.6,99.6,93.0,91.4
南 昌,98.9,91.1,90.0,99.5,92.1,90.4,98.9,90.8,89.4
济 南,99.2,92.4,91.3,99.7,92.9,91.2,99.9,93.4,91.7
青 岛,99.8,94.6,92.9,99.7,95.1,93.6,99.9,94.6,93.7
郑 州,99.5,91.6,91.2,98.9,92.6,93.0,99.7,92.3,92.5
武 汉,99.1,93.6,92.1,98.8,92.3,91.2,99.3,93.5,92.1
长 沙,99.3,92.9,91.9,99.1,93.2,92.5,99.9,93.3,92.0
广 州,99.1,93.7,91.7,99.5,92.8,91.1,98.8,93.7,92.2
深 圳,99.6,96.6,95.2,99.5,97.1,96.0,99.4,96.7,95.6
南 宁,99.5,92.2,91.1,99.9,92.9,91.8,99.7,92.6,91.6
海 口,100.1,94.7,93.6,99.8,95.5,94.5,99.8,95.0,93.4
重 庆,99.7,95.4,94.5,100.2,96.6,95.4,99.8,96.0,95.4
成 都,99.7,98.3,97.0,99.8,99.4,96.9,100.1,98.8,96.9
贵 阳,99.7,94.1,93.5,99.4,96.0,96.0,99.3,95.1,94.7
昆 明,99.2,92.1,92.1,99.5,92.4,92.5,99.6,91.5,92.1
西 安,99.2,94.0,93.6,99.1,93.4,93.1,99.9,92.7,92.2
兰 州,99.9,92.1,90.2,99.0,92.8,93.0,99.2,92.1,92.2
西 宁,99.9,93.2,92.3,99.9,94.3,93.3,99.7,94.6,94.0
银 川,99.8,95.2,94.2,99.3,95.8,95.2,99.8,94.7,93.8
乌鲁木齐,99.9,94.8,94.3,99.7,94.5,94.3,99.9,96.4,95.5
