Unnamed: 0_level_0,环比涨跌幅 （%）,同比涨跌幅 （%）,1—4月 同比涨跌幅（%）
居民消费价格,0.1,-0.1,-0.1
其中：城市,0.2,0.0,0.0
农村,0.0,-0.3,-0.3
其中：食品,0.2,-0.2,-1.1
非食品,0.1,0.0,0.1
其中：消费品,0.0,-0.3,-0.4
服务,0.3,0.3,0.3
其中：不包括食品和能源,0.2,0.5,0.4
按类别分,Unnamed: 1_level_9,Unnamed: 2_level_9,Unnamed: 3_level_9
一、食品烟酒,0.2,0.3,-0.4
粮 食,-0.1,-1.4,-1.4
食 用 油,-0.2,-1.8,-2.1
鲜 菜,-1.8,-5.0,-5.7
畜 肉 类,-0.1,0.6,0.3
其中：猪 肉,-1.6,5.0,7.3
牛 肉,3.9,-4.9,-10.6
羊 肉,0.3,-3.8,-5.4
水 产 品,1.2,1.5,-0.3
蛋 类,-1.0,-0.5,-1.0
奶 类,0.0,-1.2,-1.5
鲜 果,2.2,5.2,1.2
卷 烟,0.0,0.2,0.4
酒 类,0.0,-2.0,-2.0
二、衣着,-0.1,1.3,1.2
服 装,-0.1,1.5,1.4
鞋 类,0.0,0.6,0.4
三、居住,0.0,0.1,0.1
租赁房房租,0.0,-0.1,-0.1
水电燃料,0.1,0.3,0.3
四、生活用品及服务,0.0,0.2,-0.2
家用器具,0.0,-0.2,-1.8
家庭服务,0.0,1.7,2.5
五、交通通信,-0.3,-3.9,-2.4
交通工具,-0.3,-3.8,-4.1
交通工具用燃料,-2.0,-10.2,-4.5
交通工具使用和维修,0.0,0.5,0.0
通信工具,-1.3,1.0,1.1
通信服务,0.0,0.0,0.0
邮递服务,0.0,-0.3,0.0
六、教育文化娱乐,0.4,0.7,0.7
教育服务,0.0,1.2,1.2
旅 游,3.1,-0.5,-1.3
七、医疗保健,0.2,0.2,0.3
中 药,-0.1,0.1,0.5
西 药,-0.1,-1.1,-1.1
医疗服务,0.3,0.5,0.7
八、其他用品及服务,2.4,6.6,6.2
