0,1,2,3,4,5,6
单位：%,单位：%,单位：%,单位：%,单位：%,单位：%,单位：%
,商务活动,新订单,投入品 价格,销售价格,从业人员,业务活动 预期
2024年4月,51.2,46.3,51.1,49.4,47.2,57.2
2024年5月,51.1,46.9,49.7,47.8,46.2,56.9
2024年6月,50.5,46.7,49.6,47.6,45.8,57.2
2024年7月,50.2,45.7,50.4,48.2,45.5,56.1
2024年8月,50.3,46.3,48.6,47.2,45.2,55.3
2024年9月,50.0,44.2,48.2,46.1,44.7,54.4
2024年10月,50.2,47.2,50.6,48.5,45.8,56.1
2024年11月,50.0,45.9,49.1,48.8,45.4,57.0
2024年12月,52.2,48.7,50.5,48.8,45.8,57.5
2025年1月,50.2,46.4,50.4,48.6,46.7,56.7
2025年2月,50.4,46.1,48.4,47.8,46.5,56.6
2025年3月,50.8,46.6,48.6,46.7,45.8,57.2
2025年4月,50.4,44.9,47.8,46.6,45.5,56.0
