0,1,2,3,4,5,6
行　业,营业收入,营业收入,营业成本,营业成本,利润总额,利润总额
行　业,金额,同比增长,金额,同比增长,金额,同比增长
行　业,(亿元),(%),(亿元),(%),(亿元),(%)
总计,321395.9,3.4,274389.4,3.6,15093.6,0.8
煤炭开采和洗选业,6279.0,-19.0,4500.0,-13.1,803.8,-47.7
石油和天然气开采业,2992.3,-0.5,1567.3,4.0,993.6,-3.1
黑色金属矿采选业,1161.1,-21.8,947.8,-19.3,81.4,-52.8
有色金属矿采选业,937.0,21.5,552.1,12.1,260.0,62.3
非金属矿采选业,797.8,2.9,582.4,2.8,58.9,-8.1
开采专业及辅助性活动,488.1,7.8,458.0,6.4,6.3,384.6
其他采矿业,3.7,-45.6,2.5,-56.9,0.5,150.0
农副食品加工业,12298.9,2.5,11341.5,1.7,292.1,40.3
食品制造业,5389.7,0.5,4202.8,0.6,457.8,-0.1
酒、饮料和精制茶制造业,4301.4,2.0,2641.7,2.8,820.0,2.3
烟草制品业,5369.1,2.9,1334.8,4.2,810.7,1.6
纺织业,5387.3,2.5,4819.1,2.4,121.4,7.1
纺织服装、服饰业,2806.8,3.3,2390.6,4.0,84.8,-10.1
皮革、毛皮、羽毛及其制品和制鞋业,1902.7,0.9,1648.1,1.1,74.6,-5.4
木材加工和木、竹、藤、棕、草制品业,2041.4,-1.6,1861.1,-1.4,53.9,-11.9
家具制造业,1459.8,-2.2,1215.2,-2.2,37.1,-40.1
造纸和纸制品业,3309.3,-1.4,2918.7,-1.4,88.8,-16.9
印刷和记录媒介复制业,1524.3,1.7,1277.6,1.7,63.6,-5.4
文教、工美、体育和娱乐用品制造业,3266.9,0.8,2857.6,0.8,103.4,-12.1
石油、煤炭及其他燃料加工业,13307.4,-8.8,11467.6,-9.8,-25.5,（注1）
化学原料和化学制品制造业,21798.9,4.0,19051.2,3.8,787.6,-0.4
医药制造业,5989.1,-2.2,3496.0,-1.1,845.2,0.7
化学纤维制造业,2547.3,-4.7,2351.5,-5.6,54.6,5.4
橡胶和塑料制品业,7127.8,6.7,6072.3,7.1,294.3,3.4
非金属矿物制品业,10687.8,-6.4,9221.4,-6.5,213.6,-14.2
黑色金属冶炼和压延加工业,18286.4,-6.9,17510.7,-8.7,75.1,（注1）
有色金属冶炼和压延加工业,21356.5,19.5,20156.1,19.7,657.7,33.6
金属制品业,10394.8,4.0,9207.7,4.0,279.6,7.2
通用设备制造业,11238.6,7.1,9216.2,7.4,616.2,9.5
专用设备制造业,8608.4,4.4,6789.7,4.7,503.5,14.2
汽车制造业,24022.4,7.7,21118.9,8.7,946.5,-6.2
铁路、船舶、航空航天和其他运输设备制造业,3537.4,20.8,2949.8,19.9,251.6,59.7
电气机械和器材制造业,24821.0,10.6,21436.9,11.2,1058.0,7.5
计算机、通信和其他电子设备制造业,37872.6,10.6,33355.5,11.2,1026.8,3.2
仪器仪表制造业,2263.6,7.0,1694.5,7.2,150.7,15.3
其他制造业,501.9,8.1,413.1,8.2,21.6,-0.9
废弃资源综合利用业,2718.2,3.2,2613.8,2.3,25.5,133.9
金属制品、机械和设备修理业,595.4,17.5,505.1,17.9,35.5,11.6
电力、热力生产和供应业,24621.6,-0.4,21922.3,-1.2,1777.4,6.1
燃气生产和供应业,6288.1,0.0,5909.2,-0.4,216.4,7.1
水的生产和供应业,1094.1,0.6,811.2,-0.6,68.9,-14.0
注： 1.石油煤炭及其他燃料加工业、黑色金属冶炼和压延加工业上年同期为亏损，无法计算同比增速。 2.本表部分指标存在总计不等于分项之和情况，是数据四舍五入所致，未作机械调整。,注： 1.石油煤炭及其他燃料加工业、黑色金属冶炼和压延加工业上年同期为亏损，无法计算同比增速。 2.本表部分指标存在总计不等于分项之和情况，是数据四舍五入所致，未作机械调整。,注： 1.石油煤炭及其他燃料加工业、黑色金属冶炼和压延加工业上年同期为亏损，无法计算同比增速。 2.本表部分指标存在总计不等于分项之和情况，是数据四舍五入所致，未作机械调整。,注： 1.石油煤炭及其他燃料加工业、黑色金属冶炼和压延加工业上年同期为亏损，无法计算同比增速。 2.本表部分指标存在总计不等于分项之和情况，是数据四舍五入所致，未作机械调整。,注： 1.石油煤炭及其他燃料加工业、黑色金属冶炼和压延加工业上年同期为亏损，无法计算同比增速。 2.本表部分指标存在总计不等于分项之和情况，是数据四舍五入所致，未作机械调整。,注： 1.石油煤炭及其他燃料加工业、黑色金属冶炼和压延加工业上年同期为亏损，无法计算同比增速。 2.本表部分指标存在总计不等于分项之和情况，是数据四舍五入所致，未作机械调整。,注： 1.石油煤炭及其他燃料加工业、黑色金属冶炼和压延加工业上年同期为亏损，无法计算同比增速。 2.本表部分指标存在总计不等于分项之和情况，是数据四舍五入所致，未作机械调整。
