产品名称,单位,本期价格（元）,比上期 价格涨跌（元）,涨跌幅(%)
一、黑色金属,,,,
螺纹钢（Φ20mm，HRB400E）,吨,3193.5,-46.2,-1.4
线材（Φ8—10mm，HPB300）,吨,3354.1,-53.8,-1.6
普通中板（20mm，Q235）,吨,3532.3,13.0,0.4
热轧普通板卷（4.75—11.5mm，Q235）,吨,3347.8,-48.5,-1.4
无缝钢管（219*6，20#）,吨,4206.6,-26.2,-0.6
角钢（5#）,吨,3559.9,-39.7,-1.1
二、有色金属,,,,
电解铜（1#）,吨,76383.6,-4907.8,-6.0
铝锭（A00）,吨,20122.9,-552.8,-2.7
铅锭（1#）,吨,16825.0,-425.0,-2.5
锌锭（0#）,吨,22901.4,-1025.7,-4.3
三、化工产品,,,,
硫酸（98%）,吨,689.3,20.2,3.0
烧碱（液碱，32%）,吨,898.8,-55.2,-5.8
甲醇（优等品）,吨,2403.9,-80.1,-3.2
纯苯（石油苯，工业级）,吨,6455.0,-254.1,-3.8
苯乙烯（一级品）,吨,7709.0,-343.6,-4.3
聚乙烯（LLDPE，熔融指数2薄膜料）,吨,7935.7,-134.3,-1.7
聚丙烯（拉丝料）,吨,7290.7,-30.3,-0.4
聚氯乙烯（SG5）,吨,4933.8,-74.6,-1.5
顺丁胶（BR9000）,吨,12850.0,-748.8,-5.5
涤纶长丝（POY150D/48F）,吨,6707.1,-196.5,-2.8
四、石油天然气,,,,
液化天然气（LNG）,吨,4525.1,66.3,1.5
液化石油气（LPG）,吨,5108.7,210.0,4.3
汽油（95#国VI）,吨,8773.5,93.6,1.1
汽油（92#国VI）,吨,8494.1,87.2,1.0
柴油（0#国VI）,吨,7278.7,76.0,1.1
石蜡（58#半）,吨,8254.6,-203.6,-2.4
五、煤炭,,,,
无烟煤（洗中块）,吨,920.8,-4.2,-0.5
普通混煤（4500大卡）,吨,526.0,6.4,1.2
山西大混（5000大卡）,吨,598.0,3.4,0.6
山西优混（5500大卡）,吨,675.0,-2.3,-0.3
大同混煤（5800大卡）,吨,712.0,-2.3,-0.3
焦煤（主焦煤）,吨,1225.0,0.0,0.0
焦炭（准一级冶金焦）,吨,1268.7,0.0,0.0
六、非金属建材,,,,
普通硅酸盐水泥（P.O 42.5袋装）,吨,376.1,-9.7,-2.5
普通硅酸盐水泥（P.O 42.5散装）,吨,343.5,-6.6,-1.9
浮法平板玻璃（4.8/5mm）,吨,1317.0,8.7,0.7
七、农产品（主要用于加工）,,,,
稻米（粳稻米）,吨,3923.0,0.3,0.0
小麦（国标三等）,吨,2387.0,-6.8,-0.3
玉米（黄玉米二等）,吨,2178.5,-11.2,-0.5
棉花（皮棉，白棉三级）,吨,13996.1,-333.6,-2.3
生猪（外三元）,千克,14.7,0.0,0.0
大豆（黄豆）,吨,4148.6,15.0,0.4
豆粕（粗蛋白含量≥43%）,吨,3153.2,-17.0,-0.5
花生（油料花生米）,吨,7544.0,-42.9,-0.6
八、农业生产资料,,,,
尿素（中小颗粒）,吨,1945.6,21.8,1.1
复合肥（硫酸钾复合肥，氮磷钾含量45%）,吨,3197.6,29.6,0.9
农药（草甘膦，95%原药）,吨,23400.0,42.9,0.2
九、林产品,,,,
天然橡胶（标准胶SCRWF）,吨,15275.0,-1217.9,-7.4
纸浆（进口针叶浆）,吨,6247.7,-99.8,-1.6
瓦楞纸（AA级120g）,吨,2582.1,-24.2,-0.9
注：上期为2025年3月下旬。,注：上期为2025年3月下旬。,注：上期为2025年3月下旬。,注：上期为2025年3月下旬。,注：上期为2025年3月下旬。
