0,1,2
行业,一季度,一季度
行业,产能利用率（%）,比上年同期增减 （百分点）
工业,74.1,0.5
其中：采矿业,74.6,-0.4
制造业,74.1,0.3
电力、热力、燃气及水生产和供应业,73.6,2.4
其中：煤炭开采和洗选业,71.9,0.3
石油和天然气开采业,92.4,0.7
食品制造业,69.3,0.2
纺织业,77.8,-0.2
化学原料和化学制品制造业,73.5,-2.9
医药制造业,72.5,-3.5
化学纤维制造业,86.3,0.7
非金属矿物制品业,60.9,-1.1
黑色金属冶炼和压延加工业,79.3,2.0
有色金属冶炼和压延加工业,77.5,-0.7
通用设备制造业,78.1,-0.1
专用设备制造业,75.6,-1.4
汽车制造业,71.9,7.0
电气机械和器材制造业,71.7,-1.0
计算机、通信和其他电子设备制造业,74.7,0.0
