0,1,2,3,4,5,6
行　业,营业收入,营业收入,营业成本,营业成本,利润总额,利润总额
行　业,金额,同比增长,金额,同比增长,金额,同比增长
行　业,(亿元),(%),(亿元),(%),(亿元),(%)
总计,547596.2,2.7,468815.0,3.0,27204.3,-1.1
煤炭开采和洗选业,10484.6,-19.2,7616.6,-12.1,1263.8,-50.6
石油和天然气开采业,4854.3,-4.8,2592.3,1.0,1532.8,-10.4
黑色金属矿采选业,1926.6,-16.0,1560.6,-14.1,157.7,-45.6
有色金属矿采选业,1622.6,15.7,935.9,5.8,474.8,41.7
非金属矿采选业,1425.8,2.8,1028.5,2.4,135.7,0.4
开采专业及辅助性活动,844.9,-2.2,784.7,-3.2,14.2,63.2
其他采矿业,5.1,-34.6,3.0,-51.6,1.2,200.0
农副食品加工业,20879.4,3.4,19295.8,2.8,511.6,38.2
食品制造业,8944.9,2.0,6996.2,2.2,723.9,-0.5
酒、饮料和精制茶制造业,6647.3,2.7,4254.6,3.8,1164.9,4.3
烟草制品业,7310.0,2.6,1954.4,3.8,1040.5,1.0
纺织业,9303.0,-0.4,8311.5,-0.4,254.9,-1.8
纺织服装、服饰业,4693.5,0.6,4008.5,1.3,151.9,-13.9
皮革、毛皮、羽毛及其制品和制鞋业,3241.7,-0.3,2807.6,-0.2,135.0,-1.6
木材加工和木、竹、藤、棕、草制品业,3469.9,-1.4,3160.9,-1.3,98.1,-8.8
家具制造业,2488.7,-3.9,2069.1,-4.0,79.2,-27.9
造纸和纸制品业,5638.6,-1.7,4985.4,-1.4,141.3,-22.5
印刷和记录媒介复制业,2607.1,1.0,2180.1,0.8,129.2,0.3
文教、工美、体育和娱乐用品制造业,5699.8,5.6,5010.4,6.7,195.7,-16.5
石油、煤炭及其他燃料加工业,22211.4,-11.2,19217.1,-12.0,-174.7,（注1）
化学原料和化学制品制造业,36957.4,2.1,32257.3,2.2,1515.8,-4.7
医药制造业,9947.9,-1.4,5865.2,-0.2,1353.2,-4.7
化学纤维制造业,4390.1,-7.1,4070.3,-7.6,84.9,-12.9
橡胶和塑料制品业,12374.1,5.1,10517.4,5.5,617.1,1.4
非金属矿物制品业,18916.8,-5.6,16218.1,-6.2,574.2,0.6
黑色金属冶炼和压延加工业,31364.5,-7.0,29857.7,-8.7,316.9,（注1）
有色金属冶炼和压延加工业,37607.9,15.9,35501.6,16.8,1217.5,9.8
金属制品业,18556.6,3.1,16447.8,3.0,592.0,7.3
通用设备制造业,19673.7,6.0,16065.0,6.2,1270.7,10.6
专用设备制造业,14703.2,3.6,11555.2,3.9,948.6,7.1
汽车制造业,41283.3,7.1,36350.9,8.0,1781.4,-11.9
铁路、船舶、航空航天和其他运输设备制造业,6377.1,20.5,5290.5,19.3,530.9,56.0
电气机械和器材制造业,44477.2,10.8,38423.4,11.7,2278.6,11.6
计算机、通信和其他电子设备制造业,64942.5,9.4,56982.9,9.4,2161.8,11.9
仪器仪表制造业,3971.7,6.1,2958.8,6.4,340.1,7.9
其他制造业,869.4,5.1,714.6,5.1,48.6,1.7
废弃资源综合利用业,4849.0,2.2,4663.7,1.9,56.0,44.0
金属制品、机械和设备修理业,993.2,16.6,840.3,17.7,61.8,-6.4
电力、热力生产和供应业,39568.5,-0.5,35088.2,-1.2,2925.0,5.7
燃气生产和供应业,9606.9,1.7,9008.7,1.9,345.9,-4.4
水的生产和供应业,1866.1,0.9,1364.0,-0.1,151.7,-11.1
注： 1.石油煤炭及其他燃料加工业、黑色金属冶炼和压延加工业上年同期为亏损，无法计算同比增速。 2.本表部分指标存在总计不等于分项之和情况，是数据四舍五入所致，未作机械调整。,注： 1.石油煤炭及其他燃料加工业、黑色金属冶炼和压延加工业上年同期为亏损，无法计算同比增速。 2.本表部分指标存在总计不等于分项之和情况，是数据四舍五入所致，未作机械调整。,注： 1.石油煤炭及其他燃料加工业、黑色金属冶炼和压延加工业上年同期为亏损，无法计算同比增速。 2.本表部分指标存在总计不等于分项之和情况，是数据四舍五入所致，未作机械调整。,注： 1.石油煤炭及其他燃料加工业、黑色金属冶炼和压延加工业上年同期为亏损，无法计算同比增速。 2.本表部分指标存在总计不等于分项之和情况，是数据四舍五入所致，未作机械调整。,注： 1.石油煤炭及其他燃料加工业、黑色金属冶炼和压延加工业上年同期为亏损，无法计算同比增速。 2.本表部分指标存在总计不等于分项之和情况，是数据四舍五入所致，未作机械调整。,注： 1.石油煤炭及其他燃料加工业、黑色金属冶炼和压延加工业上年同期为亏损，无法计算同比增速。 2.本表部分指标存在总计不等于分项之和情况，是数据四舍五入所致，未作机械调整。,注： 1.石油煤炭及其他燃料加工业、黑色金属冶炼和压延加工业上年同期为亏损，无法计算同比增速。 2.本表部分指标存在总计不等于分项之和情况，是数据四舍五入所致，未作机械调整。
