0,1,2,3,4
指　标,12月,12月,1—12月,1—12月
指　标,绝对量 （亿元）,同比增长（%）,绝对量 （亿元）,比上年增长（%）
社会消费品零售总额,45172,3.7,487895,3.5
其中：除汽车以外的消费品零售额,39509,4.2,437581,3.8
其中：限额以上单位消费品零售额,19453,4.0,192553,2.7
其中：实物商品网上零售额,-,-,130816,6.5
按经营地分,,,,
城镇,38445,3.7,421166,3.4
乡村,6727,3.8,66729,4.3
按消费类型分,,,,
餐饮收入,5549,2.7,55718,5.3
其中：限额以上单位餐饮收入,1403,1.2,15298,3.0
商品零售额,39623,3.9,432177,3.2
其中：限额以上单位商品零售额,18050,4.2,177255,2.7
其中：粮油、食品类,2185,9.9,21737,9.9
饮料类,263,-8.5,3200,2.1
烟酒类,632,10.4,6159,5.7
服装、鞋帽、针纺织品类,1629,-0.3,14691,0.3
化妆品类,345,0.8,4357,-1.1
金银珠宝类,310,-1.0,3300,-3.1
日用品类,738,6.3,8091,3.0
体育、娱乐用品类,134,16.7,1415,11.1
家用电器和音像器材类,1133,39.3,10307,12.3
中西药品类,695,-0.9,7157,3.1
文化办公用品类,450,9.1,4327,-0.3
家具类,194,8.8,1691,3.6
通讯器材类,743,14.0,7902,9.9
石油及制品类,2024,-2.8,24002,0.3
汽车类,5663,0.5,50314,-0.5
建筑及装潢材料类,186,0.8,1692,-2.0
注： 1.此表数据均为未扣除价格因素的名义增速。 2.此表中部分数据因四舍五入，存在总计与分项合计不等的情况。,注： 1.此表数据均为未扣除价格因素的名义增速。 2.此表中部分数据因四舍五入，存在总计与分项合计不等的情况。,注： 1.此表数据均为未扣除价格因素的名义增速。 2.此表中部分数据因四舍五入，存在总计与分项合计不等的情况。,注： 1.此表数据均为未扣除价格因素的名义增速。 2.此表中部分数据因四舍五入，存在总计与分项合计不等的情况。,注： 1.此表数据均为未扣除价格因素的名义增速。 2.此表中部分数据因四舍五入，存在总计与分项合计不等的情况。
